1724,1616,1400
1722,1618,1400
1720,1620,1500
1718,1623,1500
1716,1625,1500
1714,1627,1500
1712,1629,1500
1710,1632,1500
1708,1634,1500
1706,1636,1500
1705,1638,1500
1703,1640,1500
1701,1642,1500
1699,1645,1500
1698,1647,1500
1696,1649,1500
1694,1651,1500
1693,1653,1500
1691,1655,1500
1689,1657,1500
1688,1660,1500
1686,1662,1500
1685,1664,1500
1683,1666,1500
1682,1668,1500
1682,1671,1500
1685,1673,1500
1682,1671,1500
1679,1672,1500
1677,1674,1500
1676,1676,1500
1674,1678,1500
1673,1680,1500
1671,1682,1500
1670,1684,1500
1669,1686,1500
1665,1687,1500
1664,1689,1500
1662,1691,1500
1661,1693,1500
1660,1695,1500
1658,1697,1500
1657,1699,1500
1656,1701,1500
1655,1703,1500
1653,1705,1500
1652,1707,1500
1651,1709,1500
1650,1711,1500
1646,1711,1500
1645,1713,1500
1646,1716,1500
1645,1718,1500
1644,1715,1500
1645,1713,1500
1646,1711,1500
1650,1711,1500
1651,1709,1500
1652,1707,1500
1653,1705,1500
1655,1703,1500
1656,1701,1500
1657,1699,1500
1658,1697,1500
1660,1695,1500
1661,1693,1500
1662,1691,1500
1664,1689,1500
1665,1687,1500
1669,1686,1500
1670,1684,1500
1671,1682,1500
1673,1680,1500
1674,1678,1500
1676,1676,1500
1677,1674,1500
1679,1672,1500
1680,1670,1500
1682,1668,1500
1683,1666,1500
1685,1664,1500
1686,1662,1500
1688,1660,1500
1689,1657,1500
1691,1655,1500
1693,1653,1500
1694,1651,1500
1696,1649,1500
1698,1647,1500
1699,1645,1500
1701,1642,1500
1703,1640,1500
1705,1638,1500
1706,1636,1500
1708,1634,1500
1710,1632,1500
1712,1629,1500
1714,1627,1500
1716,1625,1500
1718,1623,1500
1720,1620,1500
1722,1618,1500
1724,1616,1400
1714,1611,1400
1712,1613,1400
1710,1616,1500
1708,1618,1500
1706,1620,1500
1704,1622,1500
1703,1624,1500
1701,1627,1500
1699,1629,1500
1697,1631,1500
1695,1633,1500
1696,1637,1500
1694,1639,1500
1692,1641,1500
1691,1643,1500
1689,1645,1500
1687,1647,1500
1686,1649,1500
1684,1651,1500
1680,1652,1500
1679,1654,1500
1677,1656,1500
1675,1659,1500
1674,1661,1500
1675,1664,1500
1673,1666,1500
1672,1668,1500
1670,1670,1500
1666,1671,1500
1665,1673,1500
1664,1675,1500
1662,1677,1500
1661,1679,1500
1659,1681,1500
1658,1683,1500
1657,1685,1500
1655,1687,1500
1654,1689,1500
1650,1689,1500
1649,1691,1500
1648,1693,1500
1647,1695,1500
1645,1697,1500
1644,1699,1500
1643,1701,1500
1642,1703,1500
1640,1705,1500
1639,1707,1500
1638,1709,1500
1637,1711,1500
1636,1713,1500
1637,1711,1500
1638,1709,1500
1639,1707,1500
1640,1705,1500
1642,1703,1500
1643,1701,1500
